"model","lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
"N",0,NA,NA,-79.1922599726165,149.796395213562,154.508431327566,154.024585456013,155.346481324114
"N",0,NA,NA,-197.873350427359,152.909838309973,152.452352860705,157.260511152065,154.929852908329
"N",0,NA,NA,-65.9120874413558,151.861374044943,152.630654738964,154.214394433683,154.871743802964
"N",0,NA,NA,137.252461067845,151.988360701689,152.34854742306,155.047222846988,154.239000156607
"N",0,NA,NA,214.675062839091,154.300977740123,152.516523370816,157.407463305301,152.979855739161
"N",0,NA,NA,274.528314638529,152.542373103695,153.414045756103,155.657468970208,151.250090904635
"N",0,NA,NA,-17.6262461838773,151.748666811407,151.586499114158,152.349852386604,155.22628687056
"N",0,NA,NA,92.753109834671,150.336163386624,155.578267942787,155.108833037982,156.660613151925
"N",0,NA,NA,10.216765114988,153.016759054147,152.270248827504,153.930229972759,153.617206805428
"N",0,NA,NA,-156.727480916072,148.65400217957,151.410514866925,151.101887068681,153.467638957237
"N",0,NA,NA,189.632751056928,153.322423102288,153.642131935465,153.174105974769,154.166911668044
"Eb",25,19,32,60.9559029839487,153.207518605421,155.263975443945,153.247374752358,154.853149843155
"N",0,NA,NA,171.692920664644,154.723453429804,152.38909613499,154.296123359058,155.016150228681
"N",0,NA,NA,201.398536888355,152.87922633201,151.961277311957,153.288401449115,154.849601029355
"N",0,NA,NA,285.103125705796,151.378503525478,150.138233127995,153.088884201664,152.993720952393
"N",0,NA,NA,-29.357230575349,152.450183364062,151.351054316157,155.257500409426,154.361387307236
"N",0,NA,NA,101.902335007744,153.005987240933,151.461577288614,152.89713095411,154.402813139978
"N",0,NA,NA,-22.06394529665,150.932552723395,156.356235397504,154.527606021267,153.299622835423
"N",0,NA,NA,248.285319146915,151.250183805687,151.433771108211,153.982759827737,152.643510648751
"N",0,NA,NA,-351.087815400531,150.593826110292,152.537744179925,153.607455124804,154.237873283528
"N",0,NA,NA,86.1073421761276,152.952364090644,152.484622667216,155.474216349479,156.513143534347
"N",0,NA,NA,211.861273141618,152.402387994658,152.271295737047,154.494523243488,154.711113777717
"N",0,NA,NA,150.618065562918,154.438617161576,152.684573617533,154.275484557798,152.652573169425
"N",0,NA,NA,168.103334021243,152.2262497392,152.742699940527,151.655393952372,151.873131553895
"N",0,NA,NA,137.881271342412,152.65927692192,153.499983047958,154.473269013423,154.660370204431
"N",0,NA,NA,103.662497325239,154.04354577504,154.734728896785,155.191970925267,156.109432226953
"Eb",21,15,28,206.076070077446,151.522396584901,151.770882702029,152.042696643888,153.088250447104
"N",0,NA,NA,-200.603539444547,153.820276537253,153.651325155885,154.082770371125,154.705922731938
"N",0,NA,NA,19.1194665397384,150.527064256363,152.792135384361,155.029905696815,153.277925300016
"N",0,NA,NA,48.1382556398905,151.699985813546,150.28463254208,151.707493709023,153.823083416091
"N",0,NA,NA,88.511146652742,152.24026293661,151.910857949921,153.845931356277,155.448550417796
"N",0,NA,NA,-133.463392277913,152.079986845722,152.768494405501,154.494790357851,151.139386914381
"N",0,NA,NA,-27.5725700454783,152.385316655103,151.816330619552,153.635821584605,155.373587778875
"N",0,NA,NA,-238.427677862773,147.503574173584,151.761805564459,154.273280207071,153.674567959482
"N",0,NA,NA,-198.067378312431,153.47439783237,150.142939572941,155.683763914762,152.935490372388
"N",0,NA,NA,97.0134080850429,152.333815444997,151.513681085123,153.068447957979,155.615959276703
"N",0,NA,NA,233.198776661923,152.899215803337,153.282779469446,154.790190950398,154.227924940584
"N",0,NA,NA,202.663116948621,151.839435817108,156.458949079265,153.524157506805,157.073250058818
"N",0,NA,NA,340.304432153676,153.247986981406,150.488181187599,153.266330001706,150.853415597976
"N",0,NA,NA,172.988577353542,152.324773043893,153.041045573349,154.363219662312,154.29502311531
"N",0,NA,NA,249.323936137978,153.990774887123,153.452709545892,154.81906892521,153.734905653281
"N",0,NA,NA,274.349668794328,153.852438688468,153.304411886854,152.585721129675,155.053501812572
"N",0,NA,NA,202.308988425574,151.964484646656,154.192780159327,155.557392752264,155.478305728491
"N",0,NA,NA,218.729046509743,151.649323821997,152.117263792573,155.811059179381,152.88439372598
"N",0,NA,NA,174.661032423819,151.511755770507,152.322057921031,154.354794246276,153.504737978222
"N",0,NA,NA,327.186575993296,152.126482568988,151.08969732831,152.77690086714,152.824837659239
"N",0,NA,NA,114.422580907657,153.468235908555,151.057843704666,154.470699651219,153.51878274215
"N",0,NA,NA,103.005790148211,152.163082432736,153.514428074348,153.876339504103,155.507871470148
"N",0,NA,NA,40.0852412928652,153.917922749287,152.961532416085,153.690562906291,152.552122060971
"N",0,NA,NA,222.489783869144,153.478180030765,152.271896641044,152.650813300834,151.473570541261
"N",0,NA,NA,-141.100915665054,151.337651769151,152.186608855728,157.171000356725,155.997717175499
"N",0,NA,NA,-392.796439549934,149.797648967964,151.035431594068,153.688082750132,153.527182549146
"N",0,NA,NA,76.6152901330433,151.903681542017,151.716781792191,153.311905584713,152.67527890778
"N",0,NA,NA,121.669786399336,152.260839173468,153.932515692888,152.870169632535,154.19049336204
"N",0,NA,NA,-220.844699455937,148.778032225225,149.905721619658,154.528138854473,155.90567917898
"N",0,NA,NA,162.232986996828,152.277489824931,154.643850374039,155.444943338897,154.573928610138
"N",0,NA,NA,-362.23480746183,148.947093245741,151.063251928109,153.864247564953,152.9766208321
"N",0,NA,NA,-178.55127227006,156.044825715259,152.726294098668,157.531815151573,154.344872872918
"N",0,NA,NA,114.809708066696,152.81280690942,152.758376982737,154.394272990499,154.948899370868
"N",0,NA,NA,-43.7075946685784,153.413988542962,152.392108678917,154.784482099206,153.319862092167
"N",0,NA,NA,147.700056662377,152.650267005986,154.211707058184,155.642404099277,155.05202659849
"Eb",24,17,32,64.1320648271726,152.296145978363,155.232952981749,155.713224252128,154.237718335679
"N",0,NA,NA,-169.764259515732,152.989617871758,152.112410297791,153.761652069889,155.154947773388
"Eb",23,18,30,120.296306711481,154.651075833452,155.381899679194,155.085455838682,154.975717659677
"N",0,NA,NA,-158.792777779869,151.737797930994,155.592812644824,155.485339636602,155.594780386918
"N",0,NA,NA,283.325880600175,150.079667710805,153.699282557793,152.365038196575,154.678306455236
"N",0,NA,NA,45.4142595365372,154.512892872717,150.541428013175,155.564871912878,154.372403408657
"N",0,NA,NA,88.2981243585502,152.148763584535,154.544525354643,154.181451209513,152.230256325302
"N",0,NA,NA,-220.682373323611,149.366144552371,154.038227019718,154.890314678654,154.3517486561
"N",0,NA,NA,-238.94834935844,151.013838002051,153.580510078836,153.228962132887,153.305661070466
"N",0,NA,NA,-567.653003892398,148.334974080847,150.796980931771,154.489576447571,152.218859006069
"N",0,NA,NA,-144.771499684916,151.960032308441,150.828652529062,152.780382596521,153.054990750052
"N",0,NA,NA,67.8167308081884,153.845401661352,151.119471252111,154.682501248847,155.732784569983
"N",0,NA,NA,-540.924131960638,147.84839279784,152.193721688968,156.914250319661,155.016421332514
"N",0,NA,NA,-388.94657692787,148.892579514831,152.524889079813,154.163447397907,152.297104322735
"N",0,NA,NA,221.081925535162,151.173502437607,153.355472365031,156.444810994006,151.393139896354
"N",0,NA,NA,-485.978926117872,149.088766940587,151.388740858476,153.866055290066,154.400685674393
"Eb",28,22,36,-5.75731924464227,153.539628534871,152.81206600117,153.65708176871,154.268666979183
"N",0,NA,NA,-339.540393660379,153.334039918925,151.978811359646,155.052168500242,153.241223690194
"N",0,NA,NA,-55.8547144877759,151.635190052517,152.984989833127,153.404139709431,155.605390497696
"N",0,NA,NA,135.551184577471,149.989986154704,153.214693554072,151.925017239245,152.501658141561
"N",0,NA,NA,-262.998783512081,149.377159121268,152.135970252846,154.183621827318,154.536810802385
"N",0,NA,NA,134.8523877433,152.307470993922,153.526537162572,155.511855052067,155.80886982962
"N",0,NA,NA,-185.992648846782,151.587269391927,151.84242413706,157.28652128179,155.112111989115
"N",0,NA,NA,-91.9416123808866,151.155092519458,152.023757695835,154.504631998395,156.853377691174
"N",0,NA,NA,320.85590379698,151.509849798391,152.924679816174,153.475462396913,153.603892760866
"N",0,NA,NA,52.7869250153486,152.477152977416,152.068872344524,154.439116072503,153.259049599915
"N",0,NA,NA,85.8778639918669,150.941065577842,154.814994423538,158.291925264961,152.302839154002
"N",0,NA,NA,194.215243850703,153.536613530409,152.989300193558,153.05305202148,154.469749702976
"N",0,NA,NA,285.085023496955,152.010595275549,153.142783094289,154.358865575651,152.09122561114
"N",0,NA,NA,-2.47401524419369,152.002246480922,151.160396299458,154.983022554488,153.179976929099
"N",0,NA,NA,111.242636176908,153.305943006737,154.417098942686,153.508509483474,154.240916364623
"N",0,NA,NA,262.755443680408,153.861065879041,151.384124411149,155.153055790281,153.465475939766
