"lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
2,0,10,-130.392549778109,149.774856911239,154.460282228257,154.034544947361,155.387945261088
0,0,8,-238.61091840554,152.909838309973,152.452352860705,157.260511152065,154.929852908329
0,0,8,-109.497370090567,151.861374044943,152.630654738964,154.214394433683,154.871743802964
1,0,8,73.5653765126937,151.977874343261,152.329830301837,155.050082834886,154.232111184193
3,0,13,150.082308061368,154.430858803658,152.735680332835,157.52967934079,153.21110544908
0,0,8,193.220942535059,152.542373103695,153.414045756103,155.657468970208,151.250090904635
1,0,8,-62.9149098513712,151.762632919807,151.614642195374,152.350165287986,155.194240748238
0,0,7,36.1346912992199,150.336163386624,155.578267942787,155.108833037982,156.660613151925
0,0,10,-45.2220659429928,153.016759054147,152.270248827504,153.930229972759,153.617206805428
2,0,10,-193.254963128703,148.56561582533,151.372619450881,151.034704235798,153.476123289879
0,0,8,125.494914849717,153.322423102288,153.642131935465,153.174105974769,154.166911668044
1,0,11,-24.5175615445983,151.530814364367,154.580759598924,152.928790360443,154.306311817459
0,0,10,94.7178444938372,154.723453429804,152.38909613499,154.296123359058,155.016150228681
1,0,10,130.295219785936,152.886926310063,151.967640507782,153.282731875483,154.816353786638
0,0,9,203.64886320113,151.378503525478,150.138233127995,153.088884201664,152.993720952393
1,0,9,-72.4649388508533,152.405274694646,151.32202610102,155.265639787669,154.35675256993
2,0,10,48.1017660510833,153.019844065288,151.537216460754,152.885144638176,154.435383903277
1,0,8,-72.6191610051505,150.829195522469,156.276141787783,154.511759245331,153.242828492269
0,0,7,184.655686258551,151.250183805687,151.433771108211,153.982759827737,152.643510648751
2,0,11,-391.519320466559,150.590848163467,152.56250992237,153.736833731276,154.220825931884
0,0,9,33.8400453006175,152.952364090644,152.484622667216,155.474216349479,156.513143534347
0,0,10,141.101230436632,152.402387994658,152.271295737047,154.494523243488,154.711113777717
1,0,9,105.106882332765,154.44527345348,152.69056143075,154.301953096696,152.682987085893
0,0,11,81.2983915488338,152.2262497392,152.742699940527,151.655393952372,151.873131553895
0,0,13,49.804434321788,152.65927692192,153.499983047958,154.473269013423,154.660370204431
2,0,10,31.9881820533007,154.069270713532,154.750037858287,155.224580433809,156.179387382837
0,0,10,119.429788113398,151.881309929471,153.279010921974,153.756984832186,154.711168582195
0,0,7,-246.943902993549,153.820276537253,153.651325155885,154.082770371125,154.705922731938
0,0,7,-36.5464625517374,150.527064256363,152.792135384361,155.029905696815,153.277925300016
